ProbeID	PrimaryAccession	RefSeqAccession	GenbankAccession	UniGeneID	EntrezGeneID	GeneSymbol	GeneName	EnsemblID	TIGRID	GO	Description	GenomicCoordinates	Cytoband
A_23_P103070	NM_003405	NM_003405	NM_003405	Hs.226755	7533	YWHAH	"tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, eta polypeptide"	ENST00000248975	NP1208627	GO:0005159(insulin-like growth factor receptor binding)|GO:0005737(cytoplasm)|GO:0006469(negative regulation of protein kinase activity)|GO:0006713(glucocorticoid catabolic process)|GO:0006886(intracellular protein transport)|GO:0008426(protein kinase C inhibitor activity)|GO:0009966(regulation of signal transduction)|GO:0016563(transcriptional activator activity)|GO:0019904(protein domain specific binding)|GO:0035259(glucocorticoid receptor binding)|GO:0042921(glucocorticoid receptor signaling pathway)|GO:0045664(regulation of neuron differentiation)|GO:0045941(positive regulation of transcription)|GO:0048167(regulation of synaptic plasticity)|GO:0050774(negative regulation of dendrite morphogenesis)	"Homo sapiens tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, eta polypeptide (YWHAH), mRNA [NM_003405]"	chr22:30683138-30683197	hs|22q12.3
A_23_P103084	NM_005488	NM_005488	NM_005488	Hs.474705	10043	TOM1	target of myb1 (chicken)	ENST00000337040	THC2604365	GO:0005515(protein binding)|GO:0005622(intracellular)|GO:0005764(lysosome)|GO:0005768(endosome)|GO:0005769(early endosome)|GO:0005829(cytosol)|GO:0006886(intracellular protein transport)|GO:0006897(endocytosis)|GO:0016020(membrane)|GO:0016197(endosome transport)	"Homo sapiens target of myb1 (chicken) (TOM1), mRNA [NM_005488]"	chr22:34056439-34058998	hs|22q12.3
A_23_P103099	NM_001031695	NM_001031695	NM_001031695	Hs.282998	23543	RBM9	RNA binding motif protein 9	ENST00000262829	THC2587601	GO:0000166(nucleotide binding)|GO:0003714(transcription corepressor activity)|GO:0003723(RNA binding)|GO:0005634(nucleus)|GO:0008134(transcription factor binding)|GO:0016070(RNA metabolic process)|GO:0016481(negative regulation of transcription)|GO:0030520(estrogen receptor signaling pathway)|GO:0042127(regulation of cell proliferation)	"Homo sapiens RNA binding motif protein 9 (RBM9), transcript variant 1, mRNA [NM_001031695]"	chr22:34504057-34494323	hs|22q12.3
A_23_P103104	NM_002405	NM_002405	NM_002405	Hs.517603	4242	MFNG	MFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase	ENST00000356998	THC2467114	"GO:0005615(extracellular space)|GO:0007389(pattern specification process)|GO:0016020(membrane)|GO:0016021(integral to membrane)|GO:0016757(transferase activity, transferring glycosyl groups)"	"Homo sapiens MFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase (MFNG), mRNA [NM_002405]"	chr22:36195330-36195271	hs|22q13.1
A_23_P103110	NM_012323	NM_012323	NM_012323	Hs.517617	23764	MAFF	v-maf musculoaponeurotic fibrosarcoma oncogene homolog F (avian)	ENST00000338483	THC2466913	"GO:0001701(embryonic development (sensu the Mammalia research community))|GO:0003700(transcription factor activity)|GO:0005634(nucleus)|GO:0006350(transcription)|GO:0006355(regulation of transcription, DNA-dependent)|GO:0006366(transcription from RNA polymerase II promoter)|GO:0007567(parturition)|GO:0043565(sequence-specific DNA binding)|GO:0045604(regulation of epidermal cell differentiation)|GO:0046983(protein dimerization activity)"	"Homo sapiens v-maf musculoaponeurotic fibrosarcoma oncogene homolog F (avian) (MAFF), transcript variant 1, mRNA [NM_012323]"	chr22:36941930-36941989	hs|22q13.1
A_23_P103120	NM_004286	NM_004286	NM_004286	Hs.276925	9567	GTPBP1	GTP binding protein 1	ENST00000335466	THC2592535	GO:0000166(nucleotide binding)|GO:0005525(GTP binding)|GO:0006412(translation)|GO:0006955(immune response)|GO:0007165(signal transduction)|GO:0009055(electron carrier activity)|GO:0015035(protein disulfide oxidoreductase activity)|GO:0045454(cell redox homeostasis)	"Homo sapiens GTP binding protein 1 (GTPBP1), mRNA [NM_004286]"	chr22:37459474-37459533	hs|22q13.1
A_23_P103131	NM_019008	NM_019008	NM_019008	Hs.148677	54471	SMCR7L	"Smith-Magenis syndrome chromosome region, candidate 7-like"	ENST00000325301	THC2469427	GO:0003674(molecular_function)|GO:0005575(cellular_component)|GO:0008150(biological_process)	"Homo sapiens Smith-Magenis syndrome chromosome region, candidate 7-like (SMCR7L), mRNA [NM_019008]"	chr22:38241986-38242045	hs|22q13.1
A_23_P103149	NM_001098	NM_001098	NM_001098	Hs.643610	50	ACO2	"aconitase 2, mitochondrial"	ENST00000216254	THC2543646	"GO:0003994(aconitate hydratase activity)|GO:0005506(iron ion binding)|GO:0005739(mitochondrion)|GO:0006091(generation of precursor metabolites and energy)|GO:0006099(tricarboxylic acid cycle)|GO:0006101(citrate metabolic process)|GO:0008152(metabolic process)|GO:0016829(lyase activity)|GO:0046872(metal ion binding)|GO:0051539(4 iron, 4 sulfur cluster binding)"	"Homo sapiens aconitase 2, mitochondrial (ACO2), nuclear gene encoding mitochondrial protein, mRNA [NM_001098]"	chr22:40254764-40254823	hs|22q13.2
A_23_P103172	NM_138467	NM_138467	NM_138467	Hs.348411	127253	TYW3	tRNA-yW synthesizing protein 3 homolog (S. cerevisiae)	ENST00000370867	THC2462849		"Homo sapiens tRNA-yW synthesizing protein 3 homolog (S. cerevisiae) (TYW3), mRNA [NM_138467]"	chr1:75002568-75002627	hs|1p31.1
A_23_P103180	NM_138467	NM_138467	NM_138467	Hs.348411	127253	TYW3	tRNA-yW synthesizing protein 3 homolog (S. cerevisiae)	ENST00000370867	THC2520199		"Homo sapiens tRNA-yW synthesizing protein 3 homolog (S. cerevisiae) (TYW3), mRNA [NM_138467]"	chr1:74990593-74990652	hs|1p31.1
A_23_P103201	NM_017761	NM_017761	NM_017761	Hs.512636	55629	PNRC2	proline-rich nuclear receptor coactivator 2	ENST00000334351	THC2777478	"GO:0005634(nucleus)|GO:0006350(transcription)|GO:0006355(regulation of transcription, DNA-dependent)"	"Homo sapiens proline-rich nuclear receptor coactivator 2 (PNRC2), mRNA [NM_017761]"	chr1:24161878-24161936	hs|1p36.11
A_23_P103226	NM_001441	NM_001441	NM_001441	Hs.528334	2166	FAAH	fatty acid amide hydrolase	ENST00000243167	THC2776169	GO:0004040(amidase activity)|GO:0005102(receptor binding)|GO:0005615(extracellular space)|GO:0005624(membrane fraction)|GO:0005626(insoluble fraction)|GO:0006631(fatty acid metabolic process)|GO:0016020(membrane)|GO:0016021(integral to membrane)|GO:0016787(hydrolase activity)	"Homo sapiens fatty acid amide hydrolase (FAAH), mRNA [NM_001441]"	chr1:46649078-46649894	hs|1p33
A_23_P103232	NM_017823	NM_017823	NM_017823	Hs.425801	54935	DUSP23	dual specificity phosphatase 23	ENST00000368109	THC2463822	GO:0004725(protein tyrosine phosphatase activity)|GO:0005634(nucleus)|GO:0006470(protein amino acid dephosphorylation)|GO:0008138(protein tyrosine/serine/threonine phosphatase activity)|GO:0016787(hydrolase activity)	"Homo sapiens dual specificity phosphatase 23 (DUSP23), mRNA [NM_017823]"	chr1:158018888-158018947	hs|1q23.2
A_23_P103248	NM_145167	NM_145167	NM_145167	Hs.552810	93183	PIGM	"phosphatidylinositol glycan anchor biosynthesis, class M"	ENST00000368090	THC2461851	"GO:0005783(endoplasmic reticulum)|GO:0006506(GPI anchor biosynthetic process)|GO:0016020(membrane)|GO:0016021(integral to membrane)|GO:0016757(transferase activity, transferring glycosyl groups)"	"Homo sapiens phosphatidylinositol glycan anchor biosynthesis, class M (PIGM), mRNA [NM_145167]"	chr1:158266865-158266806	hs|1q23.2
A_23_P103256	NM_021023	NM_021023	NM_021023	Hs.575869	10878	CFHR3	complement factor H-related 3	ENST00000367426	THC2512093	GO:0005615(extracellular space)	"Homo sapiens complement factor H-related 3 (CFHR3), mRNA [NM_021023]"	chr1:195015043-195015102	hs|1q31.3
A_23_P103269	AF242772		AF242772	Hs.530402	51336	LOC51336	mesenchymal stem cell protein DSCD28		THC2489155		"Homo sapiens mesenchymal stem cell protein DSCD28 mRNA, complete cds. [AF242772]"	chr1:51193980-51193921	hs|1p33
A_23_P103276	NM_138417	NM_138417	NM_138417	Hs.476033	112970	KTI12	"KTI12 homolog, chromatin associated (S. cerevisiae)"	ENST00000371614	THC2461604		"Homo sapiens KTI12 homolog, chromatin associated (S. cerevisiae) (KTI12), mRNA [NM_138417]"	chr1:52270607-52270548	hs|1p32.3
A_23_P103282	NM_004872	NM_004872	NM_004872	Hs.523262	9528	TMEM59	transmembrane protein 59	ENST00000234831	THC2585978	GO:0016021(integral to membrane)	"Homo sapiens transmembrane protein 59 (TMEM59), mRNA [NM_004872]"	chr1:54270474-54270415	hs|1p32.3
A_23_P103310	NM_002963	NM_002963	NM_002963	Hs.112408	6278	S100A7	S100 calcium binding protein A7	ENST00000368723	THC2473764	GO:0000302(response to reactive oxygen species)|GO:0001525(angiogenesis)|GO:0005509(calcium ion binding)|GO:0005515(protein binding)|GO:0005576(extracellular region)|GO:0005634(nucleus)|GO:0005737(cytoplasm)|GO:0005783(endoplasmic reticulum)|GO:0005829(cytosol)|GO:0005925(focal adhesion)|GO:0008270(zinc ion binding)|GO:0008544(epidermis development)|GO:0030216(keratinocyte differentiation)|GO:0045087(innate immune response)|GO:0050829(defense response to Gram-negative bacterium)|GO:0051238(sequestering of metal ion)	"Homo sapiens S100 calcium binding protein A7 (S100A7), mRNA [NM_002963]"	chr1:151698014-151697053	hs|1q21.3
A_23_P103315	ENST00000368766				353131	LCE1A	late cornified envelope 1A	ENST00000368766		GO:0031424(keratinization)	Late cornified envelope protein 1A (Late envelope protein 1). [Source:Uniprot/SWISSPROT;Acc:Q5T7P2] [ENST00000368766]	chr1:151066942-151067001	hs|1q21.3
A_23_P103328	NM_198712	NM_198712	NM_198712	Hs.445000	5733	PTGER3	prostaglandin E receptor 3 (subtype EP3)	ENST00000340762	THC2489778	"GO:0001584(rhodopsin-like receptor activity)|GO:0004872(receptor activity)|GO:0004879(ligand-dependent nuclear receptor activity)|GO:0004957(prostaglandin E receptor activity)|GO:0005635(nuclear envelope)|GO:0005886(plasma membrane)|GO:0005887(integral to plasma membrane)|GO:0006351(transcription, DNA-dependent)|GO:0007165(signal transduction)|GO:0007186(G-protein coupled receptor protein signaling pathway)|GO:0008150(biological_process)|GO:0008219(cell death)|GO:0016020(membrane)|GO:0016021(integral to membrane)"	"Homo sapiens prostaglandin E receptor 3 (subtype EP3) (PTGER3), transcript variant 2, mRNA [NM_198712]"	chr1:71090949-71090890	hs|1p31.1
A_23_P103334	NM_172071	NM_172071	NM_172071	Hs.495097	149041	RC3H1	ring finger and CCCH-type zinc finger domains 1	ENST00000367695	THC2480474	GO:0003723(RNA binding)|GO:0005515(protein binding)|GO:0005737(cytoplasm)|GO:0008270(zinc ion binding)|GO:0045623(negative regulation of T-helper cell differentiation)|GO:0046872(metal ion binding)	"Homo sapiens ring finger and CCCH-type zinc finger domains 1 (RC3H1), mRNA [NM_172071]"	chr1:172174479-172174420	hs|1q25.1
A_23_P103349	NM_022375	NM_022375	NM_022375	Hs.371210	10896	OCLM	oculomedin		THC2484909	GO:0007601(visual perception)	"Homo sapiens oculomedin (OCLM), mRNA [NM_022375]"	chr1:184636758-184636817	hs|1q31.1
A_23_P103361	NM_005356	NM_005356	NM_005356	Hs.470627	3932	LCK	lymphocyte-specific protein tyrosine kinase	ENST00000336890	NP1180168	GO:0000074(regulation of progression through cell cycle)|GO:0000166(nucleotide binding)|GO:0000242(pericentriolar material)|GO:0001948(glycoprotein binding)|GO:0004713(protein-tyrosine kinase activity)|GO:0004722(protein serine/threonine phosphatase activity)|GO:0005524(ATP binding)|GO:0005886(plasma membrane)|GO:0006468(protein amino acid phosphorylation)|GO:0006882(zinc ion homeostasis)|GO:0006917(induction of apoptosis)|GO:0006919(caspase activation)|GO:0007242(intracellular signaling cascade)|GO:0007265(Ras protein signal transduction)|GO:0008022(protein C-terminus binding)|GO:0016740(transferase activity)|GO:0019901(protein kinase binding)|GO:0030097(hemopoiesis)|GO:0030217(T cell differentiation)|GO:0042169(SH2 domain binding)|GO:0042493(response to drug)|GO:0042609(CD4 receptor binding)|GO:0042610(CD8 receptor binding)|GO:0043548(phosphoinositide 3-kinase binding)|GO:0045121(lipid raft)|GO:0050862(positive regulation of T cell receptor signaling pathway)|GO:0050870(positive regulation of T cell activation)|GO:0051117(ATPase binding)|GO:0051209(release of sequestered calcium ion into cytosol)|GO:0051249(regulation of lymphocyte activation)	"Homo sapiens lymphocyte-specific protein tyrosine kinase (LCK), transcript variant 2, mRNA [NM_005356]"	chr1:32524019-32524078	hs|1p35.1
A_23_P103371	NM_052998	NM_052998	NM_052998	Hs.101807	113451	ADC	arginine decarboxylase	ENST00000294517	NP397514	GO:0005575(cellular_component)|GO:0006596(polyamine biosynthetic process)|GO:0007283(spermatogenesis)|GO:0008792(arginine decarboxylase activity)|GO:0016829(lyase activity)	"Homo sapiens arginine decarboxylase (ADC), mRNA [NM_052998]"	chr1:33336279-33336338	hs|1p35.1
A_23_P103398	NM_000447	NM_000447	NM_000447	Hs.25363	5664	PSEN2	presenilin 2 (Alzheimer disease 4)	ENST00000366783	THC2484347	GO:0000776(kinetochore)|GO:0001708(cell fate specification)|GO:0005515(protein binding)|GO:0005639(integral to nuclear inner membrane)|GO:0005783(endoplasmic reticulum)|GO:0005794(Golgi apparatus)|GO:0005887(integral to plasma membrane)|GO:0006509(membrane protein ectodomain proteolysis)|GO:0007001(chromosome organization and biogenesis (sensu the Eukaryota research community))|GO:0007059(chromosome segregation)|GO:0007220(Notch receptor processing)|GO:0007242(intracellular signaling cascade)|GO:0008233(peptidase activity)|GO:0008632(apoptotic program)|GO:0016020(membrane)|GO:0016021(integral to membrane)|GO:0016485(protein processing)|GO:0030326(embryonic limb morphogenesis)|GO:0042640(anagen)|GO:0042987(amyloid precursor protein catabolic process)|GO:0043065(positive regulation of apoptosis)|GO:0043085(positive regulation of enzyme activity)|GO:0051605(protein maturation via proteolysis)	"Homo sapiens presenilin 2 (Alzheimer disease 4) (PSEN2), transcript variant 1, mRNA [NM_000447]"	chr1:225150283-225150342	hs|1q42.13
A_23_P103405	AK023086		AK023086	Hs.28659	149111	CNIH3	cornichon homolog 3 (Drosophila)		THC2604352	GO:0005615(extracellular space)|GO:0007242(intracellular signaling cascade)|GO:0016020(membrane)|GO:0016021(integral to membrane)	"Homo sapiens cDNA FLJ13024 fis, clone NT2RP3000865. [AK023086]"	chr1:222713795-222713854	hs|1q42.12
A_23_P103414	NM_016258	NM_016258	NM_016258	Hs.532286	51441	YTHDF2	"YTH domain family, member 2"	ENST00000373812	NP1181810		"Homo sapiens YTH domain family, member 2 (YTHDF2), mRNA [NM_016258]"	chr1:28968570-28968629	hs|1p35.3
A_23_P103424	NM_033345	NM_033345	NM_033345	Hs.458417	85397	RGS8	regulator of G-protein signalling 8	ENST00000258302	NP1245488	GO:0004871(signal transducer activity)|GO:0009968(negative regulation of signal transduction)	"Homo sapiens regulator of G-protein signalling 8 (RGS8), mRNA [NM_033345]"	chr1:180882610-180882551	hs|1q25.3
A_23_P103433	NM_145047	NM_145047	NM_145047	Hs.202207	127700	C1orf102	chromosome 1 open reading frame 102	ENST00000356637	THC2602878	GO:0006810(transport)|GO:0016020(membrane)	"Homo sapiens chromosome 1 open reading frame 102 (C1orf102), transcript variant 1, mRNA [NM_145047]"	chr1:36656261-36656202	hs|1p34.3
A_23_P103442	NM_022756	NM_022756	NM_022756	Hs.17118	64769	C1orf149	chromosome 1 open reading frame 149	ENST00000296214	THC2607314		"Homo sapiens chromosome 1 open reading frame 149 (C1orf149), mRNA [NM_022756]"	chr1:37731697-37731638	hs|1p34.3
A_23_P103454	NM_032264	NM_032264	NM_032264	Hs.325422	84224	NBPF3	"neuroblastoma breakpoint family, member 3"	ENST00000318249	THC2507180		"Homo sapiens neuroblastoma breakpoint family, member 3 (NBPF3), mRNA [NM_032264]"	chr1:21683652-21683711	hs|1p36.12
A_23_P103465	NM_000929	NM_000929	NM_000929	Hs.319438	5322	PLA2G5	"phospholipase A2, group V"	ENST00000375108	NP1143075	GO:0005509(calcium ion binding)|GO:0005576(extracellular region)|GO:0005615(extracellular space)|GO:0006644(phospholipid metabolic process)|GO:0016042(lipid catabolic process)|GO:0016787(hydrolase activity)|GO:0047498(calcium-dependent phospholipase A2 activity)	"Homo sapiens phospholipase A2, group V (PLA2G5), mRNA [NM_000929]"	chr1:20290010-20290069	hs|1p36.13
A_23_P103476	NM_013319	NM_013319	NM_013319	Hs.522933	29914	UBIAD1	UbiA prenyltransferase domain containing 1	ENST00000376810	THC2467753	GO:0004659(prenyltransferase activity)|GO:0005634(nucleus)|GO:0005737(cytoplasm)|GO:0016020(membrane)|GO:0016021(integral to membrane)	"Homo sapiens UbiA prenyltransferase domain containing 1 (UBIAD1), mRNA [NM_013319]"	chr1:11268824-11268883	hs|1p36.22
A_23_P103486	NM_000775	NM_000775	NM_000775	Hs.152096	1573	CYP2J2	"cytochrome P450, family 2, subfamily J, polypeptide 2"	ENST00000371204	THC2601685	GO:0005506(iron ion binding)|GO:0005783(endoplasmic reticulum)|GO:0005792(microsome)|GO:0006118(electron transport)|GO:0006690(icosanoid metabolic process)|GO:0008016(regulation of heart contraction)|GO:0008392(arachidonic acid epoxygenase activity)|GO:0016020(membrane)|GO:0020037(heme binding)|GO:0046872(metal ion binding)|GO:0050381(unspecific monooxygenase activity)	"Homo sapiens cytochrome P450, family 2, subfamily J, polypeptide 2 (CYP2J2), mRNA [NM_000775]"	chr1:60131867-60131808	hs|1p32.1
A_23_P103496	NM_052941	NM_052941	NM_052941	Hs.409925	115361	GBP4	guanylate binding protein 4	ENST00000355754	THC2602391		"Homo sapiens guanylate binding protein 4 (GBP4), mRNA [NM_052941]"	chr1:89424660-89423738	hs|1p22.2
A_23_P103503	NM_002393	NM_002393	NM_002393	Hs.497492	4194	MDM4	"Mdm4, transformed 3T3 cell double minute 4, p53 binding protein (mouse)"	ENST00000367183	NP1458101	GO:0000122(negative regulation of transcription from RNA polymerase II promoter)|GO:0005515(protein binding)|GO:0005622(intracellular)|GO:0005634(nucleus)|GO:0006461(protein complex assembly)|GO:0006915(apoptosis)|GO:0008270(zinc ion binding)|GO:0008283(cell proliferation)|GO:0008285(negative regulation of cell proliferation)|GO:0042177(negative regulation of protein catabolic process)|GO:0045023(G0 to G1 transition)|GO:0046872(metal ion binding)|GO:0050821(protein stabilization)	"Homo sapiens Mdm4, transformed 3T3 cell double minute 4, p53 binding protein (mouse) (MDM4), mRNA [NM_002393]"	chr1:202785246-202785305	hs|1q32.1
A_23_P103511	ENST00000367932		AK125122	Hs.447011				ENST00000367932	THC2491782		"Homo sapiens cDNA FLJ43132 fis, clone CTONG3005813. [AK125122]"	chr1:160623107-160623166	hs|1q23.3
A_23_P103522	NM_000655	NM_000655	NM_000655	Hs.82848	6402	SELL	selectin L (lymphocyte adhesion molecule 1)	ENST00000367783	THC2468826	GO:0005515(protein binding)|GO:0005529(sugar binding)|GO:0005615(extracellular space)|GO:0005886(plasma membrane)|GO:0005887(integral to plasma membrane)|GO:0006928(cell motility)|GO:0007155(cell adhesion)|GO:0009897(external side of plasma membrane)	"Homo sapiens selectin L (lymphocyte adhesion molecule 1) (SELL), mRNA [NM_000655]"	chr1:167939032-167937407	hs|1q24.2
A_23_P103532	NM_007369	NM_007369	NM_007369	Hs.632453	23432	GPR161	G protein-coupled receptor 161	ENST00000361697	THC2628589	GO:0001584(rhodopsin-like receptor activity)|GO:0004872(receptor activity)|GO:0007165(signal transduction)|GO:0007186(G-protein coupled receptor protein signaling pathway)|GO:0016020(membrane)|GO:0016021(integral to membrane)	"Homo sapiens G protein-coupled receptor 161 (GPR161), transcript variant 1, mRNA [NM_007369]"	chr1:166332515-166332456	hs|1q24.2
A_23_P10356	NM_021777	NM_021777	NM_021777	Hs.174030	10863	ADAM28	ADAM metallopeptidase domain 28		THC2489538	GO:0004222(metalloendopeptidase activity)|GO:0005886(plasma membrane)|GO:0006508(proteolysis)|GO:0007283(spermatogenesis)|GO:0008270(zinc ion binding)|GO:0016021(integral to membrane)|GO:0046872(metal ion binding)	"Homo sapiens ADAM metallopeptidase domain 28 (ADAM28), transcript variant 3, mRNA [NM_021777]"	chr8:24249198-24249257	hs|8p21.2
A_23_P103561	NM_020443	NM_020443	NM_020443	Hs.585374	89796	NAV1	neuron navigator 1	ENST00000295624	THC2485042	GO:0000166(nucleotide binding)|GO:0005524(ATP binding)|GO:0017111(nucleoside-triphosphatase activity)	"Homo sapiens neuron navigator 1 (NAV1), mRNA [NM_020443]"	chr1:200056164-200056223	hs|1q32.1
A_23_P103571	NM_006699	NM_006699	NM_006699	Hs.435938	10905	MAN1A2	"mannosidase, alpha, class 1A, member 2"	ENST00000369453	THC2461905	"GO:0000139(Golgi membrane)|GO:0004571(mannosyl-oligosaccharide 1,2-alpha-mannosidase activity)|GO:0005509(calcium ion binding)|GO:0005624(membrane fraction)|GO:0006491(N-glycan processing)|GO:0008152(metabolic process)|GO:0016020(membrane)|GO:0016021(integral to membrane)|GO:0016798(hydrolase activity, acting on glycosyl bonds)"	"Homo sapiens mannosidase, alpha, class 1A, member 2 (MAN1A2), mRNA [NM_006699]"	chr1:117867304-117867363	hs|1p12
